FID;Kod_region;Region;Kod_distri;District;Kod_munici;Municipal;Kod_part_o;Part_ofmun;Kod_local;Local_part;Day;Month;Year;Time fire H;Alarm_leve;Type_of_bu;x;y;Surface;Ownership;Initiator;Popis;slope;elevation;aspect;dist_road;distanc_ri;relativ_hu;Code_lanco;pop_densit;temperatur;wind_speed;Risk_AHP;Risk_fu_AH
0;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;3;3;2011;14.13472222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-731664;-1042130;1; ;dále nedošetřovaný iniciátor; ;0.994155;251.399994;242.276001;0;775.625977;82.3619;121;2556.550049;4.84318018;3.464979887;4;3
2;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;30;5;2011;13.6775;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-740199;-1044452;0; ;dále nedošetřovaný iniciátor; ;2.63557;279.990997;30.2616;0;1017.400024;82.170403;111;2556.550049;14.43809986;2.899610043;5;4
5;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;22;7;2011;15.69805556;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-740675;-1040308;0; ;dále nedošetřovaný iniciátor; ;1.15118;182.009995;188.529999;0;270.886993;82.057404;112;2556.550049;19.80929947;2.5;4;3
6;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;0; ;0; ;20;8;2011;16.59777778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743985;-1054276;0; ;dále nedošetřovaný iniciátor; ;0.829629;308.169006;89.783401;0;1579.040039;83.392899;142;2556.550049;18.19540024;2.437400103;5;5
10;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730556;Bohnice;500208;Praha 8;18;5;2015;16.23222222;I.;les vysokokmenný - smíšený (622);-743473;-1037143;1;soukromé a osobní vlastnictví;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;7.91845;258.98999;313.786987;0;606.570984;82.161003;313;1200.839966;14.26889992;2.850650072;5;5
11;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730556;Bohnice;500208;Praha 8;3;6;2015;18.35944444;II.;les vysokokmenný - smíšený (622);-743362;-1037325;2;nezjištěno nebo jiný druh. nelze specifikovat;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;8.47648;257.980011;188.936996;0;717.570984;82.158699;313;1331.640015;17.07329941;2.685669899;5;5
12;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730556;Bohnice;500208;Praha 8;20;7;2006;16.88611111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742475;-1037599;1;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;3.78524;265.987;213.240997;0;1346.280029;82.118301;141;2039.079956;18.67350006;2.695470095;5;4
16;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;0; ;23;4;2011;22.64055556;I.;les výmladkový(pařezina. lesní porost nízký. kosodřevina) (624);-741814;-1041009;0;obecní majetek;výrobky pro zábavnou civilní pyrotechniku /prskavky.světlice.;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.15816;192.442001;142.828995;0;0;82.132004;121;2556.550049;9.610039711;3;5;4
17;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;500178;Praha 6;17;3;2010;12.2975;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743246;-1040716;0; ;dále nedošetřovaný iniciátor; ;1.77632;186.354004;347.84201;0;38.8871;82.2108;121;2556.550049;5.447219849;3.265990019;5;4
18;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;500178;Praha 6;23;4;2011;11.50722222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743564;-1040931;0; ;dále nedošetřovaný iniciátor; ;4.42926;200.613007;44.088001;0;196.067001;82.233002;141;2556.550049;9.516599655;3.090909958;5;4
19;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;500186;Praha 7;14;9;2006;18.07666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-743246;-1040716;0;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.77632;186.354004;347.84201;0;38.8871;82.2108;121;2556.550049;15.10680008;2.440370083;5;4
20;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730106;Bubeneč;500186;Praha 7;14;11;2007;6.04;I.;jiný pozemek (627);-743246;-1040716;0;obecní majetek;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.77632;186.354004;347.84201;0;38.8871;82.2108;121;2556.550049;4.772830009;2.765990019;5;4
21;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731561;Čakovice;547310;Praha-Čakovice;22;3;2011;15.58416667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-734374;-1037605;3;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor; ;1.44912;255.697998;271.618011;0;811.224976;82.276299;112;2556.550049;4.900000095;3.5;4;3
22;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731676;Černý Most;0; ;6;3;2011;16.92666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-730702;-1042632;0; ;dále nedošetřovaný iniciátor; ;2.24154;245.593994;171.315002;0;273.626007;82.396896;121;2556.550049;4.98815012;3.406879902;4;3
23;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731676;Černý Most;0; ;6;3;2011;17.49277778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-732593;-1042374;0; ;dále nedošetřovaný iniciátor; ;2.95401;250.197006;175.677002;0;531.625977;82.311798;112;2556.550049;4.920509815;3.435810089;4;3
24;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731676;Černý Most;0; ;8;4;2011;16.79972222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-731220;-1042857;2; ;dále nedošetřovaný iniciátor;nezjištěno;1.43545;238.608994;152.177002;0;48.625702;82.367203;112;2556.550049;9.027099609;3.118449926;5;4
25;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731676;Černý Most;547361;Praha 14;30;3;2011;18.72388889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-732121;-1042888;3;obecní majetek;dále nedošetřovaný iniciátor;nezjištěno;3.24585;251.768997;168.977997;0;17.6257;82.324699;112;2556.550049;4.97454977;3.382400036;5;4
26;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731676;Černý Most;547361;Praha 14;21;12;2008;18.36861111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-731793;-1042622;0;státní vlastnictví;výrobky pro zábavnou civilní pyrotechniku /prskavky.světlice.;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.66046;262.522003;175.781998;0;283.595001;82.345398;112;2556.550049;1.293349981;3.206170082;4;3
27;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728225;Chodov;547034;Praha 11;9;4;2010;18.19583333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-738092;-1049851;3; ;dále nedošetřovaný iniciátor; ;1.46535;294.869995;24.251801;0;165.977005;82.7715;112;2556.550049;8.684029579;3.257980108;4;3
28;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728225;Chodov;547034;Praha 11;17;6;2007;16.27416667;I.;jiný lesní pozemek (626);-738092;-1049851;0;státní vlastnictví;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.46535;294.869995;24.251801;0;165.977005;82.7715;112;2556.550049;16.80290031;2.757980108;4;3
29;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728225;Chodov;547034;Praha 11;29;6;2011;18.33861111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-739219;-1050099;0; ;dále nedošetřovaný iniciátor; ;1.95453;316.862;243.087006;0;819.007996;82.7668;141;2556.550049;16.74720001;2.787580013;4;3
30;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728225;Chodov;547034;Praha 11;1;9;2013;13.11416667;I.;les vysokokmenný - smíšený (622);-740120;-1049126;0;obecní majetek;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;6.37168;259.432007;108.387001;0;469.463013;82.695198;141;2556.550049;14.4982996;2.596400023;5;4
31;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;652393;Cholupice;0; ;19;4;2011;15.10861111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742097;-1054360;1; ;dále nedošetřovaný iniciátor; ;1.48417;310.147003;25.3514;0;2363.300049;83.3461;112;2556.550049;8.30618;3.296910048;5;3
32;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;652393;Cholupice;0; ;25;5;2011;14.41166667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742443;-1054080;1; ;dále nedošetřovaný iniciátor; ;1.6739;306.829987;10.5519;0;2012.410034;83.326599;112;2556.550049;13.57310009;3;5;3
33;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;652393;Cholupice;0; ;2;6;2011;14.55305556;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742443;-1054080;0; ;dále nedošetřovaný iniciátor; ;1.6739;306.829987;10.5519;0;2012.410034;83.326599;112;2556.550049;16.30970001;2.763439894;5;3
34;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;652393;Cholupice;547107;Praha 12;8;5;2006;17.01972222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742547;-1054440;1;státní vlastnictví;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;0.818486;316.751007;54.256001;0;2320.409912;83.367798;112;2556.550049;13.48700047;3;5;3
35;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;652393;Cholupice;547107;Praha 12;25;5;2011;14.875;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742421;-1054079;1; ;dále nedošetřovaný iniciátor; ;1.71112;306.579987;14.5972;0;2018.22998;83.325897;112;2556.550049;13.57339954;3;5;3
36;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;652393;Cholupice;547107;Praha 12;16;7;2011;17.73333333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742805;-1054580;0; ;dále nedošetřovaný iniciátor; ;1.54686;319.630005;14.499;0;2387.070068;83.3899;211;2556.550049;18.06010056;2.701950073;5;4
37;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;729272;Dejvice;500178;Praha 6;12;3;2011;18.26222222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-746608;-1039818;0; ;dále nedošetřovaný iniciátor; ;4.17765;267.960999;124.721001;0;0;82.383102;242;2338.320068;4.684959888;3.489039898;4;3
38;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;629952;Dolní Počernice;538175;Praha-Dolní Počernice;5;4;2010;21.13166667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-731053;-1044445;0;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor;nezjištěno;0.914677;238.998001;236.667007;0;155.352005;82.452202;112;2556.550049;9.100000381;3.099999905;5;4
39;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728233;Háje;547034;Praha 11;19;3;2010;17.76166667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-735775;-1050085;2; ;dále nedošetřovaný iniciátor; ;1.80842;306.602997;53.299301;0;1002.340027;82.865997;112;2556.550049;4.645959854;3.558530092;4;3
40;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728233;Háje;547034;Praha 11;26;11;2006;14.92416667;I.;les vysokokmenný - jehličnany (620);-735775;-1050085;0;obecní majetek;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.80842;306.602997;53.299301;0;1002.340027;82.865997;112;2556.550049;3.845959902;3.058530092;4;3
41;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728233;Háje;500119;Praha 4;19;3;2006;19.01138889;I.;jiný pozemek (627);-735775;-1050085;0;státní vlastnictví;neobjasněný iniciátor;nezjištěno;1.80842;306.602997;53.299301;0;1002.340027;82.865997;112;2556.550049;4.645959854;3.558530092;4;3
44;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731234;Hloubětín;547361;Praha 14;29;3;2012;13.80527778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-736826;-1038327;4; ;dále nedošetřovaný iniciátor; ;1.89585;272.894989;20.693001;0;1204.680054;82.111702;122;2556.550049;4.819560051;3.5;4;3
47;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728837;Hlubočepy;0; ;28;3;2011;18.70583333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-747427;-1048697;1; ;dále nedošetřovaný iniciátor; ;3.77731;318.735992;352.493011;0;1137.900024;82.993202;112;2556.550049;4.312970161;3.637429953;5;4
48;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728837;Hlubočepy;0; ;24;4;2011;14.58194444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-747487;-1048149;2; ;dále nedošetřovaný iniciátor; ;3.83907;282.855011;266.596008;0;589.895996;82.946899;112;2556.550049;8.437109947;3.237090111;5;4
51;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730122;Holešovice;500186;Praha 7;1;1;2009;18.76166667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-741336;-1041515;0;obecní majetek;výrobky pro zábavnou civilní pyrotechniku /prskavky.světlice.;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;0.918973;191.651001;76.220398;0;0;82.110397;122;2556.550049;0.567180991;3.032819986;4;3
52;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730122;Holešovice;500186;Praha 7;9;7;2010;13.47972222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-741336;-1041515;0; ;dále nedošetřovaný iniciátor; ;0.918973;191.651001;76.220398;0;0;82.110397;122;2556.550049;19.85460091;2.5;4;3
53;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730122;Holešovice;500186;Praha 7;16;9;2010;18.30111111;I.;les výmladkový(pařezina. lesní porost nízký. kosodřevina) (624);-741336;-1041515;0;soukromé a osobní vlastnictví;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;0.918973;191.651001;76.220398;0;0;82.110397;122;2556.550049;15.26720047;2.400000095;4;3
54;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;732583;Horní Měcholupy;547387;Praha 15;8;4;2010;13.15972222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-733658;-1049010;0;státní vlastnictví;dále nedošetřovaný iniciátor;nezjištěno;1.57753;290.058014;43.957001;0;1114.380005;82.816399;112;2556.550049;8.708660126;3.206419945;4;3
55;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;643777;Horní Počernice;0; ;5;4;2011;19.04638889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-728113;-1042826;0; ;dále nedošetřovaný iniciátor; ;1.05496;266.260986;245.121994;0;888.604004;82.513;231;2556.550049;8.852239609;3.200000048;5;4
58;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;732052;Hostivař;547387;Praha 15;10;3;2014;15.68777778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-736022;-1048903;0; ;dále nedošetřovaný iniciátor; ;7.51461;266.141998;24.0256;0;180.526993;82.729797;141;2556.550049;4.864580154;3.445930004;5;4
59;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;732052;Hostivař;547387;Praha 15;7;3;2011;14.01666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-736207;-1047579;1;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor;nezjištěno;3.2415;242.414993;178.621994;0;0;82.579002;112;2556.550049;5.089049816;3.400000095;4;3
62;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731765;Hrdlořezy;0; ;12;3;2011;14.21666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-737108;-1043018;2; ;dále nedošetřovaný iniciátor; ;4.14065;241.442993;147.496994;0;1210.410034;82.093102;112;2556.550049;5.115250111;3.427439928;4;3
63;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731765;Hrdlořezy;500216;Praha 9;30;4;2010;14.21833333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-736230;-1043241;0; ;dále nedošetřovaný iniciátor; ;2.84592;210.085007;175.080994;0;579.484985;82.132599;112;2556.550049;9.309729576;3.099999905;4;3
64;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728730;Jinonice;0; ;31;3;2011;18.01944444;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-747198;-1046860;3; ;dále nedošetřovaný iniciátor; ;5.53415;317.764008;321.415009;0;223.352997;82.815903;243;2556.550049;4.400549889;3.599859953;5;3
65;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728730;Jinonice;0; ;1;4;2011;14.67583333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-747196;-1046846;4; ;dále nedošetřovaný iniciátor; ;5.81669;316.803009;323.395996;0;229.052002;82.814598;243;2556.550049;8.433289528;3.299999952;5;3
66;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728730;Jinonice;500143;Praha 5;23;3;2012;19.7825;I.;les výmladkový(pařezina. lesní porost nízký. kosodřevina) (624);-747139;-1045791;0;obecní majetek;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;11.2198;327.515991;132.455994;0;904.271973;82.715797;141;2556.550049;4.386410236;3.626470089;4;3
67;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728730;Jinonice;500143;Praha 5;18;4;2010;17.115;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-747554;-1046708;0; ;dále nedošetřovaný iniciátor; ;1.73157;297.770996;169.274002;0;11.4487;82.821297;112;2556.550049;8.453289986;3.299999952;4;3
68;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728438;Kamýk;0; ;22;6;2011;14.92222222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623). ostatní a nezatříděné (990);-741958;-1052249;0; ;dále nedošetřovaný iniciátor; ;2.24969;301.699005;204.442001;0;977.049011;83.115303;112;2556.550049;16.61429977;2.751450062;5;5
69;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;728438;Kamýk;547107;Praha 12;8;6;2011;13.64361111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-742108;-1051657;2;státní vlastnictví;dále nedošetřovaný iniciátor;nezjištěno;1.14333;291.968994;245.380997;0;808.202026;83.057404;112;2556.550049;16.68939972;2.755280018;4;3
70;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730955;Karlín;0; ;8;4;2011;23.69666667;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-741044;-1043019;0; ;dále nedošetřovaný iniciátor; ;6.52423;198.360001;321.050995;0;753.127991;82.111298;112;2556.550049;9.616570473;3.041290045;5;5
74;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;731641;Kbely;547344;Praha 19;1;7;2011;15.60361111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-732533;-1039488;0; ;dále nedošetřovaný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.87841;271.244995;35.9781;0;156.427002;82.365898;112;2556.550049;18.79999924;2.700000048;4;3
76;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;28;4;2020;12.35222222;I.;les vysokokmenný - smíšený (622);-725474;-1044630;0;státní vlastnictví;jiné;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;8.800000191;3.200000048;5;5
77;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;27;4;2020;12.10305556;II.;les vysokokmenný - jehličnany (620);-725474;-1044630;1;nezjištěno nebo jiný druh. nelze specifikovat;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;8.800000191;3.200000048;5;5
78;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;7;4;2020;17.44361111;I.;les vysokokmenný - smíšený (622);-725474;-1044630;1;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;8.800000191;3.200000048;5;5
79;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;16;7;2010;19.12083333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-725474;-1044630;1;akciové vlastnictví. spol.s.r.o..v.o.s. ap.;dále nedošetřovaný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;18.51250076;2.599999905;5;5
80;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;30;7;2020;8.802222222;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-725474;-1044630;0;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;18.51250076;2.599999905;5;5
81;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;21;7;2020;11.68083333;I.;lesní těžba (625);-725474;-1044630;0;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;18.51250076;2.599999905;5;5
82;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;27;7;2020;14.02305556;I.;les výmladkový(pařezina. lesní porost nízký. kosodřevina) (624);-725474;-1044630;0;obecní majetek;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;18.51250076;2.599999905;5;5
83;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;7;9;2009;15.13583333;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-725474;-1044630;3;státní vlastnictví;neobjasněný iniciátor;nezjištěno;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;14.21249962;2.599999905;5;5
84;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;22;9;2020;18.40638889;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-725474;-1044630;0;nezjištěno nebo jiný druh. nelze specifikovat;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;14.21249962;2.599999905;5;5
85;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;19;9;2020;11.47;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-725474;-1044630;0;státní vlastnictví;nedopalek;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;14.21249962;2.599999905;5;5
86;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;16;9;2020;16.92555556;I.;les vysokokmenný - smíšený (622);-725474;-1044630;1;obecní majetek;neobjasněný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;1.03097;264.221008;128.138;0;1154.959961;82.702202;112;2276.459961;14.21249962;2.599999905;5;5
87;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;6;10;2012;10.76361111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-725223;-1045339;0;nezjištěno nebo jiný druh. nelze specifikovat;dále nedošetřovaný iniciátor;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;0.747327;261.079987;108.224998;0;1056.72998;82.772697;112;2556.550049;9.205530167;3.017339945;5;4
88;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;665444;Klánovice;538302;Praha-Klánovice;20;10;2012;11.77527778;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-724920;-1045100;0; ;dále nedošetřovaný iniciátor; ;1.47995;262;274.628998;0;1225.449951;82.764702;112;2556.550049;9.199999809;3.002929926;5;4
89;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730475;Kobylisy;500208;Praha 8;2;1;2006;22.64944444;I.;les vysokokmenný - smíšený (622). jiný lesní pozemek (626);-739376;-1038765;0;obecní majetek.obecní majetek;zápalka. zapalovač;bez vlivu. nesledováno/zakládání ohňů. samovznícení. kouření.;2.19119;299.882996;200.063004;0;1797.339966;81.970497;112;2556.550049;-0.303056002;3.467689991;4;3
90;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730475;Kobylisy;500208;Praha 8;12;4;2011;11.96361111;I.;trávní porost. školky. hrabanka. jehličí. listí. rašelina (623);-739186;-1041700;0; ;dále nedošetřovaný iniciátor; ;0.468589;185.960007;274.160004;0;0;81.987198;112;2556.550049;9.647029877;3.016380072;4;3
91;CZ010;Hlavní město Praha;CZ0100;Hlavní Město Praha;554782;Praha;730475;Kobylisy;500208;Praha 8;12;5;2006;17.43111111;I.;provizorní dílny (554). les vysokokmenný - smíšený (622);-739376;-1038765;0;obecní majetek.soukromé a osobní vlastnictví;neobjasněný iniciátor;nezjištěno;2.19119;299.882996;200.063004;0;1797.339966;81.970497;112;2556.550049;14.03069973;2.967689991;4;3
